,step,Lagrangian_val,Train_val,Probability_violations_train,Violations_train,Avg_prob_train,A_norm,lam_list,mu,alpha,alphagrad,gradnorm,Rho
126,126,240.98451304582485,-4.1154137185629045,[0.02],4.610597869424372,0.02,38.39685840544278,[51.09519425],1.0040060040009995,0.006349981806816424,tensor(-55.7243),"[np.float64(0.5789747221485898), np.float64(9.147768401344043), np.float64(0.030161011488796012), np.float64(2.475075903215032)]",1.0
127,127,240.49007770441997,-4.115087195747788,[0.02],4.601428556823282,0.02,38.40627929444065,[51.09519425],1.0040060040009995,0.006366677638167065,tensor(-55.7151),"[np.float64(0.5790087144127304), np.float64(9.147742048837372), np.float64(0.030241696025315356), np.float64(2.475106948188439)]",1.0
128,128,240.02340002145738,-4.1147608447000525,[0.02],4.5927740045789145,0.02,38.41516850937818,[51.09519425],1.0040060040009995,0.006382431210037431,tensor(-55.7064),"[np.float64(0.5790403872613116), np.float64(9.1477172798053), np.float64(0.030317796456788653), np.float64(2.4751361075412883)]",1.0
129,129,239.58173969941026,-4.11443456341643,[0.02],4.584583489595441,0.02,38.42357834498362,[51.09519425],1.0040060040009995,0.006397335493089027,tensor(-55.6981),"[np.float64(0.5790699668910699), np.float64(9.147693938550383), np.float64(0.030389764135720723), np.float64(2.475163566664034)]",1.0
130,130,239.16262016588493,-4.114108259756545,[0.02],4.576811150935249,0.02,38.43155610088101,[51.09519425],1.0040060040009995,0.006411474533720481,tensor(-55.6903),"[np.float64(0.5790976578396926), np.float64(9.147671884323204), np.float64(0.030458007489103527), np.float64(2.475189493144378)]",1.0
131,131,238.76380329104555,-4.1137818503985395,[0.02],4.569415526933615,0.02,38.439144554341674,[51.09519425],1.0040060040009995,0.0064249243068590966,tensor(-55.6829),"[np.float64(0.579123645048018), np.float64(9.147650989894053), np.float64(0.030522896030477146), np.float64(2.4752140384696206)]",1.0
132,132,238.38326650770378,-4.113455260002464,[0.02],4.562359135742307,0.02,38.44638238889636,[51.09519425],1.0040060040009995,0.006437753487609071,tensor(-55.6758),"[np.float64(0.5791480957279146), np.float64(9.147631140259367), np.float64(0.030584764016283225), np.float64(2.475237339566272)]",1.0
133,133,238.01918214601403,-4.113128420437412,[0.02],4.555608096005827,0.02,38.45330458240092,[51.09519425],1.0040060040009995,0.006450024149438707,tensor(-55.6691),"[np.float64(0.5791711610528685), np.float64(9.147612231472456), np.float64(0.03064391374624022), np.float64(2.475259520193027)]",1.0
134,134,237.66989872452282,-4.11280127004977,[0.02],4.549131783062152,0.02,38.45994275925668,[51.09519425],1.0040060040009995,0.006461792395865915,tensor(-55.6625),"[np.float64(0.5791929776885462), np.float64(9.147594169584917), np.float64(0.030700618575694196), np.float64(2.4752806922018156)]",1.0
135,135,237.3339240391419,-4.112473753129711,[0.02],4.542902517868302,0.02,38.46632550926974,[51.09519425],1.0040060040009995,0.006473108931945921,tensor(-55.6563),"[np.float64(0.5792136691778726), np.float64(9.14757686968955), np.float64(0.030755125661388244), np.float64(2.4753009566770254)]",1.0
136,136,237.00990986841128,-4.112145819314097,[0.02],4.536895285395011,0.02,38.47247867655906,[51.09519425],1.0040060040009995,0.006484019581270901,tensor(-55.6503),"[np.float64(0.5792333471954265), np.float64(9.14756025505378), np.float64(0.03080765843123345), np.float64(2.475320404967837)]",1.0
137,137,236.69663813952715,-4.111817423069894,[0.02],4.531087479704325,0.02,38.478425621512024,[51.09519425],1.0040060040009995,0.006494565753652759,tensor(-55.6444),"[np.float64(0.5792521126817726), np.float64(9.14754425633644), np.float64(0.030858418843463093), np.float64(2.4753391196219257)]",1.0
138,138,236.39300843143917,-4.111488523265173,[0.02],4.525458673490142,0.02,38.484187457464,[51.09519425],1.0040060040009995,0.006504784868172167,tensor(-55.6388),"[np.float64(0.5792700568703327), np.float64(9.147528810879082), np.float64(0.030907589423077506), np.float64(2.475357175228692)]",1.0
139,139,236.09802665915632,-4.111159082791463,[0.02],4.519990409254732,0.02,38.48978326549491,[51.09519425],1.0040060040009995,0.006514710735834674,tensor(-55.6333),"[np.float64(0.5792872622162134), np.float64(9.147513862065127), np.float64(0.030955335118192196), np.float64(2.4753746391832196)]",1.0
140,140,235.81079485580693,-4.110829068145646,[0.02],4.514666010625273,0.02,38.49523028853325,[55.62794603],1.0040060040009995,0.006524373905673861,tensor(-55.6279),"[np.float64(0.5793038032370983), np.float64(9.147499358739932), np.float64(0.031001804966935873), np.float64(2.4753915723768007)]",1.0
141,141,754.234390505848,-4.510640576025131,[0.04],12.297833699289674,0.04,38.54683141403281,[55.62794603],1.0040060040009995,0.0065338019777783675,tensor(-203.9251),"[np.float64(0.5793197472735352), np.float64(9.147485254686613), np.float64(0.031047133622105247), np.float64(2.4754080298217205)]",1.0
142,142,753.4439968879296,-4.510206541943571,[0.04],12.286059447759536,0.04,38.552760211192215,[55.62794603],1.0040060040009995,0.006544853215228507,tensor(-203.8897),"[np.float64(0.5793379805202267), np.float64(9.147469290457042), np.float64(0.031097196135902953), np.float64(2.475426522378102)]",1.0
143,143,752.5862637817382,-4.5097034300007985,[0.04],12.27327989138411,0.04,38.55919921201859,[55.62794603],1.0040060040009995,0.0065573640679406735,tensor(-203.8512),"[np.float64(0.5793582795934494), np.float64(9.1474516516911), np.float64(0.031151523953996233), np.float64(2.475446846691818)]",1.0
